tracking_id	root_0	root_1	root_2	root_3
Zosma109g00040	1189.14	1092.9	969.98	1258.21
Zosma109g00060	83.7986	111.977	368.336	177.534
Zosma109g00070	172.253	132.133	68.3687	73.294
Zosma109g00080	1612.13	1655.02	3425.27	2590.54
Zosma109g00090	75.1527	67.1864	146.138	103.426
Zosma109g00100	58.526	44.7909	76.0601	86.3241
Zosma109g00110	23.2774	48.5235	81.1878	97.7254
Zosma109g00140	79.1431	149.303	452.088	250.014
Zosma109g00150	23.2774	42.5514	142.72	67.5934
Zosma109g00170	219.473	225.448	418.758	281.775
Zosma109g00190	55.8658	107.498	301.677	202.78
Zosma109g00200	45.8897	42.5514	0	0.814378
Zosma109g00210	233.439	300.099	355.517	337.967
Zosma109g00220	77.1479	64.9468	118.791	92.8391
Zosma109g00230	259.377	221.715	50.4219	350.997
Zosma109g00240	178.903	250.829	457.215	504.915
Zosma109g00260	502.792	385.202	499.946	504.915
Zosma109g00300	2641.65	2526.95	1122.96	1386.07
Zosma109g00310	739.556	1073.49	1388.74	2048.16
Zosma109g00320	4095.49	4224.53	3904.7	5641.2
Zosma109g00340	766.159	627.819	5.12765	584.724
Zosma109g00350	189.545	153.036	144.429	105.869
Zosma109g00380	28.5979	32.1002	2.56382	1.62876
Zosma109g00390	428.304	447.909	1275.08	796.462
Zosma109g00410	5.32055	482.995	380.301	732.126
Zosma109g00450	810.053	809.223	1.70922	982.14
Zosma109g00460	1115.98	1304.16	2421.96	1869
Zosma109g00500	519.418	465.826	306.804	371.356
Zosma109g00510	1004.92	1212.34	2051.06	1694.72
Zosma109g00520	24.6075	34.3397	6.83687	4.88627
Zosma109g00530	162.277	147.81	169.212	114.827
Zosma109g00540	137.669	113.47	170.067	182.421
Zosma10g00040	0.665068	481.502	1411.81	43.9764
Zosma10g00120	397.046	337.425	298.258	305.392
Zosma10g00140	33.2534	34.3397	3.41843	13.8444
Zosma10g00150	85.7938	58.2282	10.2553	61.8927
Zosma10g00160	2485.36	2331.37	3035.57	2269.67
Zosma10g00170	148.975	167.219	309.368	270.374
Zosma10g00190	59.8562	56.7352	135.883	112.384
Zosma10g00200	1707.23	1415.39	205.961	193.822
Zosma10g00210	421.653	707.697	97.4253	386.83
Zosma10g00230	512.768	457.614	481.999	531.789
Zosma10g00240	1397.31	1259.37	625.573	563.55
Zosma10g00250	160.282	174.685	167.503	138.444
Zosma10g00270	6.65068	5.22561	30.7659	20.3595
Zosma10g00280	981.641	912.242	737.527	772.845
Zosma10g00290	1960.62	1867.78	3021.89	2828.34
Zosma10g00300	1674.64	1427.34	40.1666	68.4078
Zosma10g00320	234.104	198.573	119.645	179.163
Zosma10g00330	40.5692	34.3397	0	21.9882
Zosma10g00350	1170.52	1599.78	2923.61	3102.78
Zosma10g00360	246.075	278.45	540.967	393.345
Zosma10g00370	693.666	673.357	1248.58	939.792
Zosma10g00380	3533.51	2930.82	677.704	1480.54
Zosma10g00390	502.792	593.48	1399.85	980.511
Zosma10g00400	483.505	463.586	715.307	643.359
Zosma10g00410	675.044	524.8	396.538	459.309
Zosma10g00420	42.5644	31.3536	0.854608	8.14378
Zosma10g00430	778.13	781.602	2390.34	1234.6
Zosma10g00450	226.788	201.559	244.418	287.476
Zosma10g00460	301.276	342.651	464.052	374.614
Zosma10g00480	653.097	727.106	645.229	680.82
Zosma10g00500	598.562	615.129	631.555	500.028
Zosma10g00520	538.705	609.903	1069.97	973.996
Zosma10g00530	994.942	3704.96	23150.5	14952.8
Zosma10g00540	255.386	273.225	205.961	208.481
Zosma10g00550	1252.99	1184.72	1042.62	1390.96
Zosma10g00560	226.788	275.464	139.301	219.068
Zosma10g00570	599.892	527.04	121.354	203.595
Zosma10g00620	1252.99	1288.49	5190.89	2609.27
Zosma10g00640	446.926	663.652	1140.9	773.659
Zosma10g00660	248.071	230.673	303.386	158.804
Zosma10g00680	428.304	362.807	358.081	229.655
Zosma10g00690	95.7699	115.71	324.751	159.618
Zosma10g00700	39.9041	32.8467	17.0922	8.95816
Zosma10g00710	998.933	790.56	35.8935	692.221
Zosma10g00720	289.97	289.648	205.961	215.81
Zosma10g00740	654.427	515.842	0	8.95816
Zosma10g00750	160.282	144.824	58.1134	74.1084
Zosma10g00780	536.045	599.452	682.832	684.078
Zosma10g00800	30.5931	46.284	52.9857	70.0365
Zosma10g00810	42.5644	32.1002	6.83687	7.3294
Zosma10g00820	64.5116	50.0165	15.3829	9.77254
Zosma10g00830	693.001	690.527	1117.83	857.54
Zosma10g00850	502.792	515.096	4.27304	43.9764
Zosma10g00860	150.971	159.754	246.127	177.534
Zosma10g00870	133.679	102.273	88.8792	76.5516
Zosma10g00880	19.9521	21.6489	104.262	18.7307
Zosma10g00890	1785.71	1697.58	1284.48	2083.99
Zosma10g00910	1367.38	1304.91	2700.56	1495.2
Zosma10g00930	118.382	82.1167	54.6949	100.983
Zosma10g00940	168.262	82.8632	75.2055	416.147
Zosma10g00960	304.601	279.943	420.467	335.524
Zosma10g00970	339.185	259.041	630.701	348.554
Zosma10g00980	117.717	373.258	1334.04	183.235
Zosma10g00990	148.975	58.9747	15.3829	194.636
Zosma10g01030	302.606	433.725	317.914	197.894
Zosma10g01040	17.2918	62.7073	207.67	39.0902
Zosma10g01070	83.7986	87.3423	78.6239	48.0483
Zosma10g01080	764.829	460.6	23.929	995.985
Zosma10g01090	218.142	322.495	1439.16	643.359
Zosma10g01120	31.9233	39.5653	93.1523	40.7189
Zosma10g01130	171.588	212.757	216.216	183.235
Zosma10g01140	865.254	778.616	256.382	459.309
Zosma10g01150	7.31575	7.46515	94.8615	38.2758
Zosma10g01170	506.782	541.224	849.48	754.114
Zosma10g01180	368.448	388.935	510.201	434.064
Zosma10g01190	21.9473	66.4399	17.0922	35.0183
Zosma10g01200	4158.01	3889.35	2949.25	4321.09
Zosma10g01240	308.592	255.308	41.8758	55.3777
Zosma10g01270	1010.24	1017.5	1082.79	995.17
Zosma10g01280	246.075	257.548	346.116	256.529
Zosma10g01290	276.003	589.747	631.555	583.909
Zosma10g01300	45.8897	56.7352	28.2021	30.132
Zosma10g01310	66.5068	140.345	0.854608	63.5215
Zosma10g01320	140.995	167.966	257.237	188.121
Zosma10g01330	140.995	129.894	113.663	116.456
Zosma10g01340	110.401	82.8632	88.8792	92.0247
Zosma10g01360	289.305	244.857	419.613	353.44
Zosma10g01370	136.339	135.866	339.279	248.385
Zosma10g01390	2660.27	2436.63	1075.1	1124.66
Zosma10g01400	458.232	302.339	50.4219	243.499
Zosma10g01460	385.74	290.395	7.69147	304.577
Zosma10g01470	1018.22	833.858	10.2553	1080.68
Zosma10g01480	1270.28	1154.86	520.456	1130.36
Zosma10g01490	595.901	595.719	774.275	614.041
Zosma10g01510	99.0952	53.7491	132.464	70.0365
Zosma10g01520	450.916	329.96	0.854608	0
Zosma10g01530	137.669	123.922	0	4.88627
Zosma10g01540	523.409	432.979	1.70922	3.25751
Zosma10g01580	269.353	233.659	78.6239	357.512
Zosma10g01590	166.932	155.275	231.599	214.996
Zosma10g01600	514.763	478.516	298.258	441.393
Zosma10g01610	282.654	250.083	252.964	257.344
Zosma10g01630	45.8897	59.7212	1.70922	3.25751
Zosma10g01640	355.147	297.86	386.283	368.913
Zosma10g01650	327.879	242.618	133.319	227.212
Zosma10g01660	71.8274	79.8772	244.418	158.804
Zosma10g01690	79.8082	119.442	186.305	142.516
Zosma10g01700	847.962	730.839	967.416	967.481
Zosma10g01710	43.2295	56.7352	86.3154	62.7071
Zosma10g01720	474.194	594.226	10.2553	399.045
Zosma10g01730	166.267	184.389	250.4	202.78
Zosma10g01740	673.049	780.855	871.7	1035.07
Zosma10g01780	51.2103	40.3118	23.929	20.3595
Zosma1109g00010	188.214	184.389	52.9857	175.906
Zosma1109g00020	410.347	469.558	632.41	614.041
Zosma110g00130	203.511	218.729	346.971	263.859
Zosma110g00180	519.418	450.895	852.044	1880.4
Zosma110g00250	2648.3	1674.43	816.151	2432.55
Zosma110g00280	439.61	358.327	41.0212	70.8509
Zosma110g00290	125.698	87.3423	11.9645	170.205
Zosma110g00300	95.7699	111.977	39.312	210.11
Zosma110g00310	753.523	519.575	5.98226	290.733
Zosma110g00320	234.104	234.406	428.159	270.374
Zosma110g00330	71.1623	49.27	12.8191	61.0784
Zosma110g00360	492.816	536.745	324.751	543.19
Zosma110g00370	4751.91	4196.91	3986.75	4169.62
Zosma110g00380	137.004	116.456	174.34	131.929
Zosma111g00030	30.5931	20.1559	5.98226	6.51503
Zosma111g00070	125.033	160.501	450.378	285.847
