tracking_id	female_flower_early_0	female_flower_early_3	female_flower_early_1	female_flower_early_2	female_flower_late_1	female_flower_late_0
Zosma176g00220	119.076	156.35	93.2503	77.3287	179.331	151.369
Zosma176g00230	189.161	249.458	255.652	235.885	391.335	306.073
Zosma176g00240	440.923	527.609	474.109	544.55	569.94	664.158
Zosma176g00250	876.402	555.131	1166.15	1405.56	484.267	575.47
Zosma176g00260	87.7763	71.4409	94.298	86.4262	31.2196	95.356
Zosma176g00290	771.615	699.184	638.607	645.273	830.588	741.51
Zosma176g00310	406.22	408.736	370.382	426.283	472.651	455.442
Zosma176g00320	532.782	484.861	546.928	458.124	365.923	463.444
Zosma176g00330	96.622	129.414	124.683	97.4732	127.057	112.027
Zosma176g00340	208.214	180.359	261.415	154.008	185.866	149.369
Zosma176g00350	21.0935	105.405	15.7163	12.9964	59.5351	36.0086
Zosma176g00370	201.409	198.512	204.312	253.43	304.936	224.72
Zosma176g00410	1147.9	772.382	1387.75	1581.67	681.024	683.496
Zosma177g00010	26.537	39.234	31.9565	53.9352	12.3426	36.0086
Zosma177g00020	80.9719	138.197	86.4398	103.971	110.358	126.697
Zosma177g00060	189.842	161.62	170.784	168.954	157.55	170.707
Zosma177g00090	570.206	518.24	528.593	608.883	593.173	468.112
Zosma177g00100	92.5393	154.594	69.1519	76.6789	109.632	120.029
Zosma177g00110	381.044	273.467	393.432	380.795	234.51	245.392
Zosma177g00120	1178.52	996.66	1203.35	1043.61	824.053	891.546
Zosma177g00130	77.5697	60.3149	132.541	245.632	73.3298	38.6759
Zosma177g00140	768.213	633.014	558.454	697.908	596.803	563.468
Zosma177g00160	51.0327	22.8377	48.7206	43.538	32.6717	13.3365
Zosma177g00170	581.093	416.934	620.271	552.348	364.471	331.412
Zosma177g00180	167.387	158.693	176.547	165.704	109.632	221.386
Zosma177g00190	106.148	300.403	43.4819	46.1373	167.715	246.725
Zosma177g00210	404.179	497.159	426.437	463.323	373.184	426.102
Zosma177g00220	45.5892	24.0088	52.3878	39.6391	24.6853	27.3398
Zosma177g00230	104.107	136.44	92.7264	102.672	159.002	176.042
Zosma177g00240	713.097	567.428	490.874	510.76	569.214	572.136
Zosma177g00250	828.091	777.067	777.959	691.41	1128.99	942.891
Zosma177g00260	197.327	339.052	259.32	289.82	280.251	370.755
Zosma177g00270	8.16524	41.5763	15.1925	20.1445	22.5072	10.0024
Zosma177g00280	3388.57	4796.5	3523.6	3711.78	6829.11	4787.81
Zosma177g00290	530.06	559.23	573.646	630.977	639.64	526.125
Zosma177g00300	109.55	175.674	104.252	202.094	177.879	216.051
Zosma177g00310	272.855	323.827	283.942	243.683	443.609	314.742
