tracking_id	vegetative_0	vegetative_1	vegetative_5	vegetative_4	vegetative_3	vegetative_2
Zosma50g00440	8.50282	91.0404	1.81253	85.5359	1.99481	15.8415
Zosma50g00460	1653.8	414.611	1987.44	1014.73	2493.52	3221.48
Zosma50g00470	83.6111	432.587	75.2199	111.647	100.738	69.0236
Zosma50g00480	12.7542	43.4906	19.9378	74.7314	13.9637	20.3676
Zosma50g00490	8.50282	59.1473	11.7814	177.374	10.9715	92.7858
Zosma50g00510	558.352	601.911	629.853	785.13	414.921	168.599
Zosma50g00520	45.3484	2870.38	99.689	6804.16	66.8262	483.165
Zosma50g00540	252.25	653.519	76.1261	246.704	441.851	29.4199
Zosma50g00550	8.50282	40.0114	3.62505	2.70113	2.99222	3.3946
Zosma50g00560	303.267	154.827	281.848	182.777	266.307	278.358
Zosma50g00590	1023.17	194.838	928.014	408.772	1013.36	483.165
Zosma50g00600	77.9425	329.949	123.252	59.4249	72.8107	98.4435
Zosma50g00620	318.856	166.424	355.255	217.891	336.126	348.513
Zosma50g00630	9.91996	504.491	21.7503	115.248	9.97406	2.26307
Zosma50g00640	15.5885	80.0228	17.219	19.8083	13.9637	23.7622
Zosma50g00650	113.371	113.076	142.283	111.647	113.704	134.653
Zosma50g00660	641.963	341.547	599.04	277.316	546.579	487.691
Zosma50g00680	1696.31	487.095	1584.15	828.348	1633.75	2900.12
Zosma50g00700	70.8569	48.1296	131.408	118.85	56.8522	311.172
Zosma50g00710	311.77	423.889	326.255	244.903	274.287	107.496
Zosma50g00720	562.603	449.983	415.975	390.764	586.475	442.43
Zosma50g00730	199.816	362.422	213.878	597.851	226.411	366.617
Zosma50g00740	12.7542	110.176	15.4065	43.2181	9.97406	9.05228
Zosma50g00770	202.651	118.874	105.127	44.1185	182.525	222.912
Zosma50g00780	289.096	154.827	272.785	210.688	239.377	286.278
Zosma50g00790	1.41714	260.364	0	126.053	0	6.78921
Zosma50g00800	2112.95	2078.85	1998.31	1748.53	1799.32	1416.68
